,city,lat,lng
187,Mau,25.9417,83.5611
188,Barasat,22.72,88.48
189,Farrukhabad,27.39,79.581
190,Saugor,23.83,78.71
191,Ratlam,23.334,75.037
192,Drug,21.19,81.28
193,Handwara,34.4,74.28
194,Imphal,24.8074,93.9384
195,Anantapur,14.68,77.599
196,Arrah,25.5514,84.6603
197,Malkajgiri,17.4519,78.5362
198,Tiruvottiyur,13.16,80.3
199,Etawah,26.77,79.03
200,Puducherry,11.9167,79.8167
201,Byatarayanpur,13.0659,77.5922
202,Bharatpur,27.22,77.48
203,Gadda Madiral,18.7519,79.5133
204,Junagarh,19.8599,82.9338
205,Begusarai,25.42,86.13
206,Gandhidham,23.08,70.13
207,Ramnagar,27.17,84.32
208,Katihar,25.53,87.58
209,Krishnarajpur,13.012,77.6951
210,Nelamangala,13.102,77.374
211,Singrauliya,24.11,82.39
212,Ramgundam,18.7639,79.475
213,Pandharpur,17.6778,75.3278
214,Masaurhi Buzurg,25.35,85.02
215,Tuticorin,8.7642,78.1348
216,Ganganagar,29.92,73.88
217,Rewa,24.53,81.3
218,Uluberiya,22.47,88.11
219,Bulandshahr,28.4069,77.8497
220,Cannanore,11.8689,75.3555
221,Raichur,16.2,77.37
222,Vizianagaram,18.1159,83.406
223,Pali,25.77,73.33
224,Songadh,21.167,73.564
225,Haridwar,29.945,78.163
226,Pathardi,19.17,75.18
227,Petlad,22.47,72.8
228,Khatima,28.92,79.97
229,Pallavaram,12.9675,80.1491
230,Nadiad,22.69,72.86
231,Tanjore,10.787,79.1378
232,Kichha,28.92,79.5
233,Secunderabad,17.4399,78.4983
234,Tiptur,13.26,76.48
235,Katri,23.48,80.4
236,Sambhal,28.58,78.55
237,Anand,22.556,72.951
238,Naihati,22.89,88.42
239,Yamunanagar,30.133,77.288
240,Monghyr,25.381,86.465
241,Kapra,17.4859,78.5651
242,Shimla,31.1033,77.1722
243,Gokak,16.1667,74.8333
244,Puri,19.8106,85.8314
245,Nandyal,15.48,78.48
246,Bhadravati,13.8485,75.705
247,Panchkula,30.74,76.8
248,Burhanpur,21.3,76.23
249,Kiratot,32.8376,76.2296
250,Kharagpur,22.3302,87.3237
251,Dindigul,10.35,77.95
252,Robertsonpet,12.9563,78.2754
253,Hospet,15.2689,76.3909
254,Lingampalli,17.4865,78.317
255,Ingraj Bazar,25.0044,88.1458
256,Ongole,15.506,80.049
257,Ellore,16.7117,81.1031
258,Betigeri,15.443,75.6442
259,Mokameh,25.3898,85.9191
260,Deoghar,24.48,86.7
261,Chhindwara,22.057,78.9396
262,Haldia,22.0667,88.0698
263,Khandwa,21.82,76.35
264,Pulimaddi,15.48,78.48
265,Morena,26.5,78
266,Amroha,28.9044,78.4675
267,Drabar,33.43,75.09
268,Bhind,26.5587,78.7871
269,Chakradharpur,22.7,85.63
270,Madhyamgram,22.7,88.45
271,Khammam,17.2473,80.1514
272,Bhiwani,28.78,76.13
273,Shrirampur,22.75,88.34
274,Ghandinagar,23.223,72.65
275,Baharampur,24.1,88.25
276,Hugli,22.9089,88.3967
277,Morbi,22.82,70.83
278,Mahbubnagar,16.7488,78.0035
279,Fatehpur,25.93,80.8
280,Pandhurna,21.6,78.52
281,Rajendranagar,17.3198,78.4031
282,Rae Bareli,26.2236,81.2403
283,Orai,25.98,79.47
284,Raiganj,25.62,88.12
285,Bhusaval,21.05,75.77
286,Barakpur,22.7642,88.3776
287,Bahraigh,27.575,81.594
288,Tambaram,12.831,80.0459
289,Umreth,22.6986,73.1156
290,Mahesana,23.6,72.4
291,Dinapore,25.6225,85.0417
292,Alasandigutta,15.63,77.28
293,Batala,31.8186,75.2028
294,Kottayam,9.5947,76.4856
295,Sirsa,29.5333,75.0167
296,Karaikkudi,10.0735,78.7732
297,Himatnagar,23.6,72.95
298,Alleppey,9.49,76.33
299,Dam Dam,22.62,88.42
300,Jaunpur,25.73,82.68
301,Guna,24.65,77.32
302,Madanapalle,13.55,78.5
303,Mahad,18.083,73.417
304,Shivpuri,25.43,77.65
305,Bhalswa Jahangirpur,28.7354,77.1638
306,Sultanpur Mazra,28.6981,77.0689
307,Unnao,26.55,80.49
308,Titagarh,22.74,88.37
309,Waraseoni,21.7647,80.0494
310,Mauli,30.699,76.693
311,Chandannagar,22.8671,88.3674
312,Cuddalore,11.75,79.75
313,Kotdwara,29.75,78.53
314,Chirala,15.8246,80.3521
315,Deo,24.6561,84.4356
316,Silchar,24.82,92.8
317,Gadag,15.4167,75.6167
318,Tiruvannamalai,12.13,79.07
319,Bidar,17.912,77.52
320,Valsad,20.61,72.926
321,Machilipatnam,16.17,81.13
322,Medinipur,22.424,87.319
323,Damoh,23.8331,79.4419
324,Neyveli,11.6088,79.4994
325,Baramula,34.2,74.34
326,Wapi,20.372,72.917
327,Jind,29.3167,76.3167
328,Adoni,15.6244,77.2731
329,Tenali,16.239,80.645
330,Fyzabad,26.773,82.146
331,Udipi,13.3389,74.7451
332,Conjeeveram,12.8308,79.7078
333,Proddatur,14.73,78.55
334,Nangloi Jat,28.6833,77.0667
335,Godhra,22.7772,73.6203
336,Chitaldrug,14.2333,76.4
337,Rajapalaiyam,9.4204,77.58
338,Multai,21.77,78.25
339,Chittoor,13.216,79.098
340,Krishnanagar,23.4,88.5
341,Uttarpara,22.67,88.35
342,Moga,30.822,75.174
343,Budaun,28.05,79.12
344,Bharuch,21.6948,72.9805
345,Saharsa,25.88,86.6
346,Pathankot,32.2668,75.6
347,Vidisha,23.5239,77.8061
348,Nalgonda,17.05,79.27
349,Rudarpur,28.9708,79.3972
350,Thanesar,29.9667,76.8167
351,Jorhat,26.75,94.22
352,Hajipur,25.6925,85.2084
353,Balurghat,25.22,88.76
354,Dibrugarh,27.48,95
355,Veraval,20.9,70.37
356,Shantipur,23.25,88.43
357,Hindupur,13.83,77.49
358,Erode,11.3409,77.7171
359,Beawar,26.1011,74.3203
360,Kolar,13.1333,78.1333
361,Soro,21.29,86.69
362,Sitarganj,28.93,79.7
363,Habra,22.83,88.63
364,Nowgong,26.3492,92.6861
365,Bir,18.9833,75.7667
366,Etah,27.63,78.67
367,Narnaul,28.0444,76.1056
368,Abohar,30.1334,74.2001
369,Kaithal,29.8015,76.3998
370,Shillong,25.5744,91.8789
371,Chhatarpur,24.9177,79.5887
372,Koiridih,24.18,86.3
373,Rewari,28.18,76.62
